Source Course	Target Course	Cosine Similarity
SI 530	ACC 272	0.213200716356
SI 530	BIT 601	0.213200716356
SI 530	MO 615	0.213200716356
SI 530	SI 562	0.213200716356
SI 530	ECON 434	0.213200716356
SI 530	SI 652	0.206835075998
SI 530	SI 680	0.202259958739
SI 530	SI 505	0.195646395218
SI 530	SI 646	0.19462473604
SI 530	SI 683	0.19284730396
SI 530	EDUC 626	0.190692517849
SI 530	SI 563	0.190692517849
SI 530	SI 539	0.190692517849
SI 530	BIT 512	0.184637236469
SI 530	SI 631	0.184637236469
SI 530	SI 596	0.180980691498
SI 530	SI 696	0.177393718797
SI 530	SI 687	0.177393718797
SI 530	SI 575	0.161164592805
SI 530	MHS 663	0.161164592805
SI 530	SI 679	0.159900537267
SI 530	SI 689	0.155492603393
SI 530	SI 643	0.153998100702
SI 530	PUBPOL 650	0.150755672289
SI 530	IOE 836	0.150755672289
SI 530	SI 532	0.150755672289
SI 530	ACC 630	0.150755672289
SI 530	LING 517	0.150755672289
SI 530	ES 715	0.150755672289
SI 530	SI 645	0.150755672289
SI 530	SI 647	0.149591518401
SI 530	SI 622	0.149240501449
SI 530	SI 533	0.146734796413
SI 530	SI 663	0.146734796413
SI 530	SI 520	0.133366267342
SI 530	SI 601	0.127920429813
SI 530	SI 620	0.127411797859
SI 530	SI 627	0.123091490979
SI 530	HMP 668	0.123091490979
SI 530	SI 699	0.123091490979
SI 530	PUBPOL 688	0.123091490979
SI 530	EDUC 601	0.123091490979
SI 530	ECON 500	0.123091490979
SI 530	SI 580	0.118262479198
SI 530	SI 666	0.113636363636
SI 530	SI 655	0.111978502191
SI 530	SI 624	0.106600358178
SI 530	SI 658	0.10577717707
SI 530	SI 688	0.104972776216
SI 530	SI 690	0.102295433858
SI 530	SI 692	0.101929438288
SI 530	SI 633	0.101129979369
SI 530	SI 583	0.100503781526
SI 530	SI 621	0.098692754244
SI 530	SI 629	0.0965609099171
SI 530	IOE 536	0.0953462589246
SI 530	BIT 551	0.0953462589246
